year,households_bel,population_FL,hhsize_FL,share_pop_FL,houses_fl,apartments_fl
2009,,6.2,2.4,0.57,2177331,795590
2010,,6.25,2.4,0.57,2177331,795590
2011,4709852,6.3,2.4,0.57,2177331,795590
2012,4749421,6.35,2.4,0.57,2177331,795590
2013,4774945,6.38,2.4,0.57,2177331,795590
2014,4796397,6.41,2.4,0.57,2177331,795590
2015,4828576,6.44,2.4,0.57,2177331,795590
2016,4854786,6.48,2.4,0.57,2177331,795590
2017,4884911,6.52,2.4,0.57,2177331,795590
2018,4919156,6.55,2.4,0.57,2177331,795590
2019,4955225,6.9,2.4,0.57,2177331,795590
2020,4988930,6.62,2.4,0.57,2177331,795590
2021,,6.65,2.4,0.57,2177331,795590